state,YYYY-MM-DD,daily_rain,max_temp,min_temp,radiation,rh_tmax,rh_tmin
NSW,2018-01-01,0.48,30.72,16.57,29.07,42.7,92.71
NSW,2018-01-02,1.15,29.93,16.26,24.79,43.5,90.91
NSW,2018-01-03,4.55,27.61,15.18,25.36,44.81,87.45
NSW,2018-01-04,0.41,29.14,15.08,27.84,38.63,85.57
NSW,2018-01-05,0.06,32.24,15.08,30.42,34.35,89.22
NSW,2018-01-06,0.0,36.05,17.17,30.77,30.7,85.02
NSW,2018-01-07,0.07,38.96,20.15,28.92,25.13,69.82
NSW,2018-01-08,0.77,34.74,21.03,20.36,36.12,78.12
NSW,2018-01-09,5.53,31.52,19.9,19.55,46.27,88.26
NSW,2018-01-10,4.81,28.83,16.37,22.92,45.09,89.06
NSW,2018-01-11,0.99,30.93,17.94,21.13,42.48,86.96
NSW,2018-01-12,2.66,34.61,19.62,22.6,40.88,89.49
NSW,2018-01-13,3.91,29.06,20.27,17.83,50.99,83.37
NSW,2018-01-14,4.14,24.04,13.19,27.29,38.53,74.57
NSW,2018-01-15,0.52,26.62,11.75,28.0,32.56,78.39
NSW,2018-01-16,0.05,26.63,13.76,28.45,33.23,70.94
NSW,2018-01-17,0.02,28.82,12.35,30.64,29.56,77.21
NSW,2018-01-18,0.02,32.66,12.18,30.68,25.06,78.8
NSW,2018-01-19,0.0,35.69,13.93,30.4,22.98,74.63
NSW,2018-01-20,0.0,36.33,15.24,29.61,22.28,67.65
NSW,2018-01-21,0.04,35.65,17.03,28.55,27.59,71.32
NSW,2018-01-22,0.06,35.66,19.23,22.46,29.89,72.91
NSW,2018-01-23,0.11,34.91,20.87,20.89,34.07,72.14
NSW,2018-01-24,0.96,32.62,20.11,18.92,39.7,79.02
NSW,2018-01-25,0.87,32.29,20.21,18.76,44.84,86.33
NSW,2018-01-26,3.85,33.18,19.63,22.88,45.18,93.17
NSW,2018-01-27,3.0,31.8,20.4,21.65,49.33,90.74
NSW,2018-01-28,2.43,31.6,20.96,21.77,50.38,89.8
NSW,2018-01-29,2.54,31.91,19.49,26.55,43.51,87.52
NSW,2018-01-30,0.76,30.69,18.2,20.76,46.36,90.59
NSW,2018-01-31,3.32,25.2,15.71,17.98,50.32,84.5
NSW,2018-02-01,1.41,23.36,13.54,16.75,40.63,73.12
NSW,2018-02-02,2.63,23.27,13.2,15.99,50.24,88.93
NSW,2018-02-03,2.31,25.98,14.12,21.8,45.53,89.49
NSW,2018-02-04,2.92,27.35,13.84,25.95,41.38,88.82
NSW,2018-02-05,0.74,29.52,13.44,26.75,37.31,90.97
NSW,2018-02-06,0.09,30.23,14.88,23.89,36.37,83.41
NSW,2018-02-07,0.11,31.38,16.53,25.99,35.67,81.14
NSW,2018-02-08,0.11,33.75,16.6,26.34,31.14,80.56
NSW,2018-02-09,0.03,34.47,18.93,21.91,32.14,73.85
NSW,2018-02-10,0.81,34.73,18.06,22.95,35.05,85.71
NSW,2018-02-11,0.91,32.22,18.93,22.43,38.2,80.53
NSW,2018-02-12,0.25,30.63,15.67,24.06,36.32,84.38
NSW,2018-02-13,0.6,31.5,17.12,23.76,38.95,85.48
NSW,2018-02-14,0.07,34.18,16.89,26.31,32.52,84.7
NSW,2018-02-15,0.01,31.35,14.63,25.43,30.63,76.77
NSW,2018-02-16,0.01,30.85,15.0,24.08,30.99,74.46
NSW,2018-02-17,0.29,31.11,15.36,24.81,36.08,85.44
NSW,2018-02-18,0.21,33.45,16.19,24.57,34.11,84.81
NSW,2018-02-19,0.87,29.79,18.78,15.01,46.47,82.62
NSW,2018-02-20,8.84,25.37,16.58,17.77,48.91,80.16
NSW,2018-02-21,3.23,27.13,14.32,20.59,39.3,83.17
NSW,2018-02-22,0.06,28.67,15.64,18.54,39.2,83.44
NSW,2018-02-23,0.85,30.23,17.62,17.52,41.48,82.85
NSW,2018-02-24,2.14,32.86,19.76,18.68,42.67,87.74
NSW,2018-02-25,8.41,26.33,19.4,12.26,62.44,89.2
NSW,2018-02-26,23.36,24.17,15.53,15.26,58.12,92.4
NSW,2018-02-27,5.82,27.02,13.95,22.4,41.93,88.91
NSW,2018-02-28,0.08,30.98,13.75,23.91,35.23,91.18
NSW,2018-03-01,0.01,29.05,15.57,22.41,40.22,85.52
NSW,2018-03-02,0.09,28.05,15.4,18.53,43.5,88.28
NSW,2018-03-03,0.1,31.48,16.46,21.44,40.52,91.95
NSW,2018-03-04,0.79,29.24,17.45,17.58,47.55,88.09
NSW,2018-03-05,2.79,26.06,16.51,13.87,54.89,91.59
NSW,2018-03-06,7.9,23.98,15.27,14.85,52.93,84.7
NSW,2018-03-07,6.61,25.39,14.8,19.46,47.32,86.83
NSW,2018-03-08,0.43,26.04,13.39,20.02,42.44,87.69
NSW,2018-03-09,0.54,26.8,13.9,20.06,43.33,89.35
NSW,2018-03-10,0.5,27.51,14.16,20.79,42.53,89.81
NSW,2018-03-11,0.54,29.56,13.08,21.77,37.35,90.74
NSW,2018-03-12,0.17,28.48,13.01,21.01,38.87,89.92
NSW,2018-03-13,0.78,26.01,13.73,17.32,46.69,89.43
NSW,2018-03-14,0.71,28.23,14.86,19.4,43.91,92.25
NSW,2018-03-15,0.19,29.9,14.31,20.57,38.81,90.82
NSW,2018-03-16,0.06,29.09,15.23,18.34,41.03,87.02
NSW,2018-03-17,0.24,32.64,16.31,21.07,34.59,84.86
NSW,2018-03-18,0.02,33.7,17.7,19.63,29.18,74.02
NSW,2018-03-19,0.01,30.14,13.45,21.3,30.84,79.98
NSW,2018-03-20,0.02,28.49,13.14,18.33,35.24,82.57
NSW,2018-03-21,3.3,24.03,15.62,13.09,55.6,85.52
NSW,2018-03-22,11.45,23.03,14.72,12.58,54.88,86.62
NSW,2018-03-23,8.93,24.66,15.23,13.01,52.86,89.78
NSW,2018-03-24,4.24,28.08,14.92,15.84,45.99,93.3
NSW,2018-03-25,2.46,28.04,16.71,13.13,46.21,87.53
NSW,2018-03-26,4.87,22.33,13.51,17.64,48.41,82.42
NSW,2018-03-27,0.44,24.54,8.15,17.17,35.3,89.05
NSW,2018-03-28,0.34,28.97,11.72,19.04,36.47,91.22
NSW,2018-03-29,0.11,29.66,13.09,18.48,38.1,89.91
NSW,2018-03-30,0.37,29.44,13.48,18.7,38.99,91.48
NSW,2018-03-31,0.04,27.84,13.53,17.07,42.77,91.28
NSW,2018-04-01,0.04,29.49,13.1,17.21,39.13,92.58
NSW,2018-04-02,0.15,29.61,15.05,16.43,37.76,85.4
NSW,2018-04-03,0.58,26.22,14.38,15.26,48.09,91.37
NSW,2018-04-04,1.26,27.3,14.24,16.64,45.9,93.23
NSW,2018-04-05,0.63,28.38,13.84,17.38,43.39,92.67
NSW,2018-04-06,0.16,28.03,12.66,17.04,40.74,90.72
NSW,2018-04-07,0.1,28.22,12.71,17.32,40.21,91.64
NSW,2018-04-08,0.07,29.28,11.6,17.6,35.18,88.32
NSW,2018-04-09,0.01,31.03,12.45,17.37,27.71,79.3
NSW,2018-04-10,0.02,28.58,13.68,15.17,39.52,86.23
NSW,2018-04-11,0.05,30.62,14.52,16.46,35.18,85.23
NSW,2018-04-12,0.02,30.14,15.44,16.68,33.92,80.03
NSW,2018-04-13,0.0,29.27,15.41,14.93,32.46,72.07
NSW,2018-04-14,3.25,25.05,15.0,13.63,45.49,82.04
NSW,2018-04-15,2.38,22.38,12.65,13.73,41.74,76.46
NSW,2018-04-16,0.7,24.43,11.9,13.85,45.16,91.77
NSW,2018-04-17,0.1,23.58,10.16,15.21,45.23,93.87
NSW,2018-04-18,1.46,23.59,10.72,13.49,44.83,92.17
NSW,2018-04-19,0.16,25.57,11.37,13.23,43.74,94.07
NSW,2018-04-20,2.64,25.35,11.14,14.59,46.62,96.64
NSW,2018-04-21,1.11,24.62,11.83,13.26,49.97,96.44
NSW,2018-04-22,1.16,24.1,11.08,13.65,47.15,93.47
NSW,2018-04-23,1.46,24.83,10.19,14.42,45.07,95.17
NSW,2018-04-24,0.59,24.91,10.28,13.57,42.83,91.99
NSW,2018-04-25,2.21,24.87,10.77,12.22,44.24,93.87
NSW,2018-04-26,0.88,23.82,11.31,14.41,47.74,93.55
NSW,2018-04-27,1.14,21.09,10.16,12.62,48.22,91.15
NSW,2018-04-28,1.07,20.56,9.16,11.91,50.18,95.16
NSW,2018-04-29,1.57,20.38,8.3,12.19,50.07,96.46
NSW,2018-04-30,2.8,20.84,7.07,13.41,43.75,95.22
NSW,2018-05-01,0.46,23.02,6.67,13.8,39.29,94.83
NSW,2018-05-02,0.03,22.61,9.98,10.49,42.07,87.7
NSW,2018-05-03,0.04,25.41,9.59,12.76,38.87,91.79
NSW,2018-05-04,3.59,20.87,12.99,10.67,56.13,87.01
NSW,2018-05-05,0.9,20.2,5.61,13.57,39.83,92.19
NSW,2018-05-06,0.02,21.31,4.8,13.69,40.03,95.85
NSW,2018-05-07,0.04,22.61,5.71,13.13,39.73,96.83
NSW,2018-05-08,0.59,22.64,8.33,11.01,40.14,91.35
NSW,2018-05-09,1.31,22.66,7.14,13.27,42.46,97.76
NSW,2018-05-10,0.14,19.6,7.56,10.61,45.38,91.25
NSW,2018-05-11,2.14,13.84,5.14,10.51,46.77,81.47
NSW,2018-05-12,3.95,16.07,6.33,9.54,54.43,92.03
NSW,2018-05-13,1.49,17.8,7.11,11.13,47.99,90.62
NSW,2018-05-14,0.92,18.44,6.57,11.83,47.09,92.39
NSW,2018-05-15,0.19,18.26,3.86,12.53,43.74,95.96
NSW,2018-05-16,0.08,17.5,4.05,12.1,46.07,96.05
NSW,2018-05-17,0.07,17.79,3.27,12.33,44.7,97.42
NSW,2018-05-18,0.11,18.15,3.65,11.54,43.2,96.21
NSW,2018-05-19,0.09,17.94,4.49,11.39,48.37,98.08
NSW,2018-05-20,0.01,17.44,3.0,11.87,43.41,96.35
NSW,2018-05-21,0.21,18.17,5.46,10.97,48.38,96.32
NSW,2018-05-22,0.02,18.79,6.6,11.08,46.06,93.33
NSW,2018-05-23,0.03,19.69,6.4,11.45,47.41,97.35
NSW,2018-05-24,0.1,19.08,5.18,10.87,47.82,96.86
NSW,2018-05-25,0.1,18.93,5.98,10.61,49.38,96.63
NSW,2018-05-26,0.41,20.31,5.05,11.55,43.43,97.46
NSW,2018-05-27,0.12,19.45,4.85,10.11,45.34,97.07
NSW,2018-05-28,0.32,19.97,7.44,9.59,45.65,92.7
NSW,2018-05-29,0.62,19.76,6.67,9.32,50.42,97.12
NSW,2018-05-30,4.59,15.25,6.84,9.71,59.48,94.43
NSW,2018-05-31,0.55,14.7,3.86,10.87,49.17,92.34
NSW,2018-06-01,0.35,14.9,2.96,10.46,46.48,93.36
NSW,2018-06-02,0.28,15.63,3.55,9.5,45.56,91.09
NSW,2018-06-03,2.95,17.2,6.85,9.92,54.35,96.92
NSW,2018-06-04,1.11,16.62,5.51,9.72,54.98,98.47
NSW,2018-06-05,1.69,15.95,4.94,9.37,54.21,98.07
NSW,2018-06-06,4.92,16.78,6.67,8.68,58.44,98.92
NSW,2018-06-07,6.07,18.31,7.24,9.97,53.19,97.2
NSW,2018-06-08,0.63,15.56,7.7,6.12,62.56,94.93
NSW,2018-06-09,4.96,15.13,9.67,6.37,73.47,97.98
NSW,2018-06-10,1.84,16.04,6.69,9.47,59.83,98.65
NSW,2018-06-11,2.28,16.66,5.79,10.37,54.86,98.52
NSW,2018-06-12,1.53,16.73,4.66,8.67,54.67,97.98
NSW,2018-06-13,0.94,15.67,5.73,8.95,56.74,97.25
NSW,2018-06-14,0.49,15.79,4.55,10.42,49.83,95.89
NSW,2018-06-15,0.91,15.35,4.72,9.72,48.62,90.47
NSW,2018-06-16,1.86,14.07,4.51,9.71,49.56,87.16
NSW,2018-06-17,2.34,11.28,3.67,9.0,54.99,88.08
NSW,2018-06-18,2.54,13.06,4.27,9.04,55.45,93.76
NSW,2018-06-19,2.52,13.57,3.08,9.05,54.15,96.92
NSW,2018-06-20,4.72,15.32,4.22,9.96,53.09,97.52
NSW,2018-06-21,0.45,15.9,3.15,10.2,47.86,97.11
NSW,2018-06-22,0.09,16.1,1.44,10.9,44.6,97.29
NSW,2018-06-23,0.07,15.94,0.62,11.07,41.57,97.14
NSW,2018-06-24,0.02,15.12,0.27,11.08,41.67,96.01
NSW,2018-06-25,0.03,15.19,0.23,11.11,42.61,97.51
NSW,2018-06-26,0.11,15.75,0.78,10.47,43.36,97.75
NSW,2018-06-27,1.22,14.36,3.77,7.88,57.6,97.96
NSW,2018-06-28,6.7,14.33,7.0,7.13,72.33,99.41
NSW,2018-06-29,3.58,13.6,4.03,9.46,62.26,99.38
NSW,2018-06-30,0.12,15.29,3.66,10.24,52.96,98.04
NSW,2018-07-01,0.72,13.98,2.18,9.6,52.19,97.28
NSW,2018-07-02,2.95,14.22,3.33,8.65,57.34,98.48
NSW,2018-07-03,1.94,16.16,3.48,10.34,52.07,99.15
NSW,2018-07-04,0.9,18.53,4.3,10.67,47.31,97.76
NSW,2018-07-05,0.59,20.79,6.29,10.65,45.52,95.94
NSW,2018-07-06,0.77,18.94,10.03,8.51,60.19,94.27
NSW,2018-07-07,1.86,13.9,5.1,9.62,53.94,89.44
NSW,2018-07-08,1.43,13.61,4.04,9.97,49.65,88.22
NSW,2018-07-09,0.34,14.15,4.25,11.0,51.38,93.06
NSW,2018-07-10,0.07,14.64,1.17,11.26,45.21,96.59
NSW,2018-07-11,0.17,14.85,0.18,10.92,44.94,98.75
NSW,2018-07-12,0.42,14.36,0.97,10.58,49.61,99.37
NSW,2018-07-13,0.36,12.99,0.39,11.5,46.64,96.16
NSW,2018-07-14,0.02,13.77,-0.99,11.8,40.63,95.67
NSW,2018-07-15,0.02,14.09,-2.33,11.93,36.34,95.1
NSW,2018-07-16,0.02,15.08,-1.34,11.17,34.25,91.58
NSW,2018-07-17,0.01,18.62,1.36,12.2,26.91,80.4
NSW,2018-07-18,0.38,17.13,2.94,12.17,34.46,82.0
NSW,2018-07-19,0.01,18.71,1.13,11.6,31.47,91.91
NSW,2018-07-20,0.92,14.59,4.45,10.21,49.16,87.63
NSW,2018-07-21,0.48,13.65,1.5,12.09,42.21,88.59
NSW,2018-07-22,0.04,14.24,-1.12,12.19,39.38,96.15
NSW,2018-07-23,0.02,16.09,-1.05,11.69,34.98,94.26
NSW,2018-07-24,0.33,19.24,3.23,12.62,32.87,84.57
NSW,2018-07-25,0.21,18.52,4.31,12.14,38.69,88.14
NSW,2018-07-26,0.06,17.81,2.43,12.43,39.73,94.78
NSW,2018-07-27,0.08,18.88,2.53,12.06,38.08,95.48
NSW,2018-07-28,0.07,19.22,4.78,9.96,38.61,90.25
NSW,2018-07-29,1.84,18.37,8.25,10.65,53.32,93.19
NSW,2018-07-30,0.87,14.53,4.14,12.58,43.32,83.09
NSW,2018-07-31,0.05,17.27,1.72,12.76,36.15,92.09
NSW,2018-08-01,0.21,17.15,3.85,13.13,39.67,88.17
NSW,2018-08-02,0.07,17.72,1.21,13.29,38.2,96.88
NSW,2018-08-03,0.04,19.62,4.26,11.63,39.0,91.49
NSW,2018-08-04,4.23,16.28,5.25,13.0,47.05,89.52
NSW,2018-08-05,0.03,19.42,2.48,13.77,35.64,94.87
NSW,2018-08-06,1.65,15.62,6.64,9.07,55.79,90.2
NSW,2018-08-07,3.12,14.02,4.6,12.59,45.95,83.39
NSW,2018-08-08,0.39,15.61,2.22,11.99,40.94,90.75
NSW,2018-08-09,0.95,16.94,2.07,14.14,42.19,95.95
NSW,2018-08-10,0.02,19.5,2.0,14.22,35.04,94.7
NSW,2018-08-11,0.03,19.45,5.42,12.59,35.9,81.5
NSW,2018-08-12,2.3,13.31,3.92,13.57,46.97,85.51
NSW,2018-08-13,0.17,15.43,2.14,13.2,43.78,90.89
NSW,2018-08-14,0.03,18.73,2.58,14.78,38.35,95.51
NSW,2018-08-15,0.01,20.54,3.43,13.96,30.21,83.08
NSW,2018-08-16,0.51,18.07,5.86,14.45,37.69,77.84
NSW,2018-08-17,0.05,16.47,2.62,14.01,37.82,88.56
NSW,2018-08-18,0.31,17.27,2.03,13.09,38.7,91.55
NSW,2018-08-19,1.82,13.01,4.18,13.51,43.45,76.07
NSW,2018-08-20,0.62,13.44,1.55,15.44,37.12,80.05
NSW,2018-08-21,0.18,14.36,1.19,13.64,41.89,89.03
NSW,2018-08-22,0.25,15.44,2.91,13.83,42.48,87.69
NSW,2018-08-23,0.03,16.31,1.36,13.33,43.58,95.04
NSW,2018-08-24,0.3,18.19,3.81,14.18,46.27,96.52
NSW,2018-08-25,2.07,17.2,6.11,10.8,54.45,95.96
NSW,2018-08-26,4.85,16.07,6.73,10.24,62.16,98.67
NSW,2018-08-27,3.49,15.41,5.03,13.94,53.1,94.57
NSW,2018-08-28,0.34,14.72,2.19,15.83,41.14,89.25
NSW,2018-08-29,0.05,15.75,-0.52,17.13,33.96,92.45
NSW,2018-08-30,0.02,17.54,-0.23,15.31,29.37,86.59
NSW,2018-08-31,0.26,17.41,5.92,9.14,42.66,84.77
NSW,2018-09-01,5.58,17.19,7.7,13.81,52.74,91.44
NSW,2018-09-02,0.39,15.99,4.19,15.48,47.65,94.13
NSW,2018-09-03,0.76,15.16,4.77,12.59,51.44,94.69
NSW,2018-09-04,5.67,16.63,6.18,13.51,54.6,97.06
NSW,2018-09-05,3.43,18.05,5.93,15.09,51.16,96.45
NSW,2018-09-06,1.34,19.05,8.47,11.69,53.68,93.55
NSW,2018-09-07,7.51,19.35,9.61,13.27,56.15,95.55
NSW,2018-09-08,4.25,17.6,7.77,13.17,57.45,95.85
NSW,2018-09-09,0.72,19.47,4.39,17.98,37.23,91.02
NSW,2018-09-10,0.02,21.22,5.54,19.24,38.78,94.17
NSW,2018-09-11,0.01,23.22,6.82,19.18,39.32,94.7
NSW,2018-09-12,0.01,23.48,9.42,18.42,37.87,84.0
NSW,2018-09-13,0.01,22.03,6.26,19.33,39.7,94.15
NSW,2018-09-14,0.05,24.4,6.56,19.72,36.1,93.66
NSW,2018-09-15,0.01,25.61,7.79,17.05,27.96,79.05
NSW,2018-09-16,0.19,15.29,4.74,19.28,34.15,69.48
NSW,2018-09-17,0.05,18.17,1.44,19.9,33.35,91.03
NSW,2018-09-18,0.0,22.84,3.79,20.13,29.05,86.3
NSW,2018-09-19,0.01,21.55,8.12,18.96,36.17,80.28
NSW,2018-09-20,0.33,17.62,4.08,18.81,38.69,86.86
NSW,2018-09-21,0.84,20.45,2.46,21.06,32.34,93.1
NSW,2018-09-22,0.01,22.24,4.45,18.73,33.84,91.86
NSW,2018-09-23,0.0,22.18,5.76,20.53,37.91,93.27
NSW,2018-09-24,0.72,18.13,7.31,16.55,45.87,86.17
NSW,2018-09-25,1.9,18.27,6.47,16.74,46.79,93.45
NSW,2018-09-26,2.53,17.99,6.79,14.87,52.65,96.15
NSW,2018-09-27,2.54,22.38,5.44,21.11,39.08,95.46
NSW,2018-09-28,0.04,25.08,7.24,20.47,33.36,90.06
NSW,2018-09-29,0.48,18.9,8.85,20.38,38.15,72.04
NSW,2018-09-30,0.17,19.39,4.39,20.74,36.17,88.74
NSW,2018-10-01,0.14,22.55,5.03,22.41,36.27,94.03
NSW,2018-10-02,0.02,25.19,6.93,21.78,32.72,89.39
NSW,2018-10-03,0.21,23.24,10.79,13.76,41.83,85.1
NSW,2018-10-04,5.04,18.08,11.89,10.0,69.91,95.52
NSW,2018-10-05,11.44,17.99,10.69,13.24,61.68,92.76
NSW,2018-10-06,5.34,20.33,9.03,19.19,50.16,94.62
NSW,2018-10-07,1.1,21.39,7.8,19.68,44.27,93.16
NSW,2018-10-08,1.4,23.97,9.59,20.96,42.9,92.74
NSW,2018-10-09,0.82,24.77,10.02,18.81,43.78,93.08
NSW,2018-10-10,3.59,20.11,11.26,13.31,59.72,92.8
NSW,2018-10-11,10.07,17.86,9.51,15.42,53.38,86.91
NSW,2018-10-12,4.22,18.72,9.21,17.41,52.02,90.15
NSW,2018-10-13,2.4,20.01,10.12,16.9,52.89,92.54
NSW,2018-10-14,6.46,21.74,11.81,17.39,54.88,94.19
NSW,2018-10-15,4.07,23.85,12.53,19.25,51.62,92.22
NSW,2018-10-16,3.36,24.6,14.7,18.59,52.37,91.26
NSW,2018-10-17,5.62,23.07,14.37,14.5,61.04,98.67
NSW,2018-10-18,5.95,24.4,12.95,19.41,54.23,98.4
NSW,2018-10-19,2.33,27.35,12.08,24.52,44.46,96.82
NSW,2018-10-20,0.26,25.66,14.58,15.63,49.52,91.38
NSW,2018-10-21,6.64,21.85,10.56,21.16,48.81,93.08
NSW,2018-10-22,1.26,25.42,10.48,24.99,42.1,93.33
NSW,2018-10-23,0.04,28.17,11.29,25.38,37.81,90.26
NSW,2018-10-24,0.02,23.98,11.7,21.76,43.32,85.33
NSW,2018-10-25,0.3,25.79,11.25,23.98,39.88,91.35
NSW,2018-10-26,0.22,25.63,10.2,25.98,35.9,83.79
NSW,2018-10-27,0.02,25.99,10.16,26.41,36.81,90.75
NSW,2018-10-28,0.14,22.45,11.39,19.15,41.8,78.77
NSW,2018-10-29,0.17,23.77,10.64,21.34,40.6,85.52
NSW,2018-10-30,0.15,27.96,10.13,26.78,33.94,91.36
NSW,2018-10-31,0.01,30.13,11.34,26.31,30.94,85.26
NSW,2018-11-01,0.02,32.36,14.88,25.64,31.92,84.77
NSW,2018-11-02,0.04,32.93,18.4,22.12,26.16,61.4
NSW,2018-11-03,2.98,29.15,16.25,26.7,33.62,72.35
NSW,2018-11-04,0.11,28.45,12.78,25.27,36.47,87.87
NSW,2018-11-05,0.13,28.61,14.6,16.06,37.83,81.77
NSW,2018-11-06,2.04,30.29,17.79,15.31,45.7,88.74
NSW,2018-11-07,5.55,21.88,16.49,8.05,67.58,89.21
NSW,2018-11-08,11.49,18.85,8.34,25.98,43.68,85.22
NSW,2018-11-09,0.11,21.81,7.0,25.4,37.87,91.9
NSW,2018-11-10,0.02,24.22,8.52,26.25,35.33,88.9
NSW,2018-11-11,0.38,26.2,9.65,28.52,36.2,90.28
NSW,2018-11-12,0.0,27.62,11.37,27.93,35.73,86.48
NSW,2018-11-13,0.05,27.39,14.43,20.7,36.2,77.82
NSW,2018-11-14,3.38,24.62,15.57,13.53,55.51,92.47
NSW,2018-11-15,2.22,26.25,13.71,22.78,48.39,94.03
NSW,2018-11-16,1.66,24.98,12.57,22.03,45.35,90.52
NSW,2018-11-17,0.26,25.08,12.35,22.77,45.59,90.28
NSW,2018-11-18,3.31,24.59,12.67,24.19,41.88,82.7
NSW,2018-11-19,0.71,26.1,12.08,25.51,38.69,86.79
NSW,2018-11-20,0.24,28.92,14.08,23.17,37.04,87.14
NSW,2018-11-21,4.83,24.51,16.6,13.87,59.21,92.32
NSW,2018-11-22,9.08,20.63,13.15,23.23,49.43,77.86
NSW,2018-11-23,3.3,19.86,9.52,23.14,37.8,70.16
NSW,2018-11-24,1.31,22.59,10.1,24.96,34.59,73.65
NSW,2018-11-25,0.34,24.59,10.57,24.58,34.08,79.13
NSW,2018-11-26,0.17,25.19,10.39,27.28,35.86,86.47
NSW,2018-11-27,0.05,26.41,13.07,19.6,39.62,85.76
NSW,2018-11-28,11.38,21.83,15.16,13.14,67.1,95.4
NSW,2018-11-29,14.73,24.11,12.35,24.86,43.81,88.45
NSW,2018-11-30,0.25,26.47,12.05,27.86,40.01,92.37
NSW,2018-12-01,0.21,29.84,12.14,30.87,32.0,86.54
NSW,2018-12-02,0.13,29.72,14.26,26.64,31.4,75.5
NSW,2018-12-03,0.33,26.58,11.23,29.96,30.22,76.42
NSW,2018-12-04,0.01,27.48,13.3,27.51,34.89,80.21
NSW,2018-12-05,0.87,26.48,14.96,22.4,45.63,86.2
NSW,2018-12-06,0.44,28.39,15.16,28.21,39.52,83.86
NSW,2018-12-07,0.06,29.84,15.16,29.53,34.37,81.27
NSW,2018-12-08,0.05,31.22,15.72,28.14,32.75,79.6
NSW,2018-12-09,0.08,31.68,16.44,25.47,35.63,82.54
NSW,2018-12-10,1.68,29.82,17.46,20.57,42.23,85.2
NSW,2018-12-11,1.02,25.91,17.04,15.24,52.33,84.35
NSW,2018-12-12,2.14,27.32,16.55,18.25,49.66,90.1
NSW,2018-12-13,7.15,27.04,17.84,15.8,58.11,95.8
NSW,2018-12-14,17.52,24.71,15.54,17.42,58.16,94.61
NSW,2018-12-15,8.03,27.8,16.37,23.35,50.02,91.85
NSW,2018-12-16,6.1,28.47,16.39,21.92,48.12,91.66
NSW,2018-12-17,9.58,30.0,16.04,28.87,42.54,92.28
NSW,2018-12-18,0.37,30.59,17.71,26.57,45.31,90.77
NSW,2018-12-19,0.57,30.79,19.22,21.02,48.47,88.98
NSW,2018-12-20,5.93,33.8,19.03,27.96,41.24,90.87
NSW,2018-12-21,3.83,27.54,17.85,20.73,49.76,84.27
NSW,2018-12-22,3.72,24.68,14.61,25.43,44.83,80.29
NSW,2018-12-23,1.08,25.51,12.15,30.04,38.17,83.1
NSW,2018-12-24,0.06,28.82,12.6,31.26,34.18,84.9
NSW,2018-12-25,0.0,32.03,14.73,31.64,31.92,83.28
NSW,2018-12-26,0.01,33.76,16.14,30.89,30.85,80.39
NSW,2018-12-27,0.05,35.39,17.26,30.06,29.37,77.25
NSW,2018-12-28,0.05,35.76,19.6,27.34,27.45,67.14
NSW,2018-12-29,0.01,35.09,19.68,29.75,28.9,68.46
NSW,2018-12-30,0.0,33.85,19.6,23.65,32.37,72.78
NSW,2018-12-31,0.11,33.48,19.7,22.16,34.27,73.98
NSW,2019-01-01,1.3,34.23,18.51,29.03,34.44,82.77
NSW,2019-01-02,0.36,34.51,19.29,26.99,35.5,81.03
NSW,2019-01-03,1.15,33.62,19.42,26.29,38.77,83.92
NSW,2019-01-04,0.88,36.27,19.86,29.68,34.19,82.36
NSW,2019-01-05,0.33,33.54,21.15,22.47,34.68,70.06
NSW,2019-01-06,4.37,27.81,15.69,22.81,45.31,85.29
NSW,2019-01-07,0.68,29.05,16.78,19.68,45.81,88.63
NSW,2019-01-08,2.03,30.72,18.79,20.88,46.09,88.08
NSW,2019-01-09,4.37,30.59,17.53,24.63,43.22,88.99
NSW,2019-01-10,0.88,29.66,17.38,22.13,45.08,86.12
NSW,2019-01-11,2.44,31.64,18.41,22.25,44.16,88.32
NSW,2019-01-12,6.39,34.75,17.72,30.38,35.8,88.81
NSW,2019-01-13,0.06,32.81,18.97,27.54,38.54,78.54
NSW,2019-01-14,0.17,35.16,19.53,29.49,34.68,80.5
NSW,2019-01-15,0.01,37.69,20.8,29.17,30.76,75.26
NSW,2019-01-16,0.13,38.64,21.45,28.69,30.05,73.9
NSW,2019-01-17,0.27,38.06,21.82,28.47,31.3,75.11
NSW,2019-01-18,0.52,37.62,22.53,25.84,29.91,70.12
NSW,2019-01-19,1.28,33.85,21.34,23.12,38.37,74.41
NSW,2019-01-20,0.96,32.55,19.41,21.25,40.65,81.62
NSW,2019-01-21,4.25,32.0,19.81,20.38,47.11,87.9
NSW,2019-01-22,1.32,35.63,20.54,26.14,38.84,85.87
NSW,2019-01-23,2.58,35.08,21.16,24.37,38.67,82.42
NSW,2019-01-24,2.63,33.43,20.36,24.74,41.46,83.48
NSW,2019-01-25,0.06,37.41,21.65,28.85,35.78,82.85
NSW,2019-01-26,0.03,37.56,22.78,26.46,32.57,73.03
NSW,2019-01-27,0.98,32.33,21.67,20.07,42.49,76.76
NSW,2019-01-28,2.8,30.05,20.01,17.52,49.74,85.6
NSW,2019-01-29,2.19,34.15,19.63,26.06,40.6,89.45
NSW,2019-01-30,1.39,33.39,21.5,19.89,41.6,80.73
NSW,2019-01-31,1.42,33.64,20.97,22.81,37.41,77.24
NSW,2019-02-01,0.57,27.23,16.8,17.59,47.21,81.35
NSW,2019-02-02,2.41,30.53,17.97,20.53,47.85,89.39
